global_test_id,context_status,source_context_preference,subcondition_label,pair_id,construction_candidate,preference_in_source_context,sentence_for_t5,t5_corrected,t5_edit_distance_norm,t5_edit_summary,t5_details,t5_corrected_to_paired_preferred
T0664,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-032,SVO,preferred,她每个星期五晚上都会去电影院看新电影。,他每个星期五晚上都会去电影院看新电影。,1,replace:她->他@0:1,,False
T0665,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-033,BA,non-preferred,她每天都要把防晒霜涂了。,他每天都要把防晒涂了。,2,replace:她->他@0:1 | delete:霜->@8:9,,False
T0666,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-033,SVO,preferred,她每天都要涂防晒霜。,他每天都要涂防晒。,2,replace:她->他@0:1 | delete:霜->@8:9,,False
T0670,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-035,SVO,preferred,他每次去北京出差都会抽空去吃北京烤鸭。,她每次去北京出差都会抽空去吃北京烤鸭。,1,replace:他->她@0:1,,False
T0671,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-036,BA,non-preferred,他每天早上起床后都会在厨房把早饭做了。,她每天早上起床后都会在厨房把早饭做了。,1,replace:他->她@0:1,,False
T0672,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-036,SVO,preferred,他每天早上起床后都会在厨房做早饭。,她每天早上起床后都会在厨房做早饭。,1,replace:他->她@0:1,,False
T0675,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-038,BA,non-preferred,他每次遇到不会的汉字都习惯用手机把字典查了。,她每次遇到不会的汉字都习惯用手机把字典查了。,1,replace:他->她@0:1,,False
T0676,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-038,SVO,preferred,他每次遇到不会的汉字都习惯用手机查字典。,她每次遇到不会的汉字都习惯用手机查字典。,1,replace:他->她@0:1,,False
T0678,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-039,SVO,preferred,爸爸周末都会坐在沙发上看报纸。,爸爸周末都会坐在沙发上看电视。,2,replace:报纸->电视@12:14,,False
T0715,无语境,SVO-preferred,叙述经历和日程,SVO-NS-008,BA,non-preferred,经理开始把那份年终报告写了。,经理开始把那份年中报告写了。,1,replace:终->中@8:9,,False
T0716,无语境,SVO-preferred,叙述经历和日程,SVO-NS-008,SVO,preferred,经理开始写那份年终报告。,经理开始写那份年中报告。,1,replace:终->中@8:9,,False
T0720,无语境,SVO-preferred,叙述经历和日程,SVO-NS-010,SVO,preferred,孩子们马上跑过去踩那些沙子。,孩子们马上跑过去踩那些杀字。,2,replace:沙子->杀字@11:13,,False
T0738,无语境,SVO-preferred,叙述经历和日程,SVO-NS-019,SVO,preferred,他去厨房煮了一碗面条。,她去厨房煮了一碗面条。,1,replace:他->她@0:1,,False
T0747,无语境,SVO-preferred,叙述经历和日程,SVO-NS-024,BA,non-preferred,他安静地把那杯温水喝了。,她安静地把那杯温水喝了。,1,replace:他->她@0:1,,False
T0748,无语境,SVO-preferred,叙述经历和日程,SVO-NS-024,SVO,preferred,他安静地喝了一杯温水。,她安静地喝了一杯温水。,1,replace:他->她@0:1,,False
T0756,无语境,SVO-preferred,叙述经历和日程,SVO-NS-028,SVO,preferred,经理坐下来打开电脑看了一份文件。,经理坐下来打开电脑看了一一份文件。,1,insert:->一@12:12,,False
T0761,无语境,SVO-preferred,叙述经历和日程,SVO-NS-031,BA,non-preferred,他又给自己把那杯热水接好了。,她又给自己把那杯热水接好了。,1,replace:他->她@0:1,,False
T0762,无语境,SVO-preferred,叙述经历和日程,SVO-NS-031,SVO,preferred,他又给自己接好了一杯热水。,她又给自己浇好了一杯热水。,2,replace:他->她@0:1 | replace:接->浇@5:6,,False
T0770,无语境,SVO-preferred,叙述经历和日程,SVO-NS-035,SVO,preferred,他点开浏览器看了一条新闻。,她点开浏览器看了一条新闻。,1,replace:他->她@0:1,,False
T0776,无语境,SVO-preferred,叙述经历和日程,SVO-NS-038,SVO,preferred,他在休息区的沙发上看了一本杂志。,她在休息区的沙发上看了一本杂志。,1,replace:他->她@0:1,,False
T0777,无语境,SVO-preferred,叙述经历和日程,SVO-NS-039,BA,non-preferred,他最后给面试官把那份简历留下了。,她最后给面试官把那份履历留下了。,2,replace:他->她@0:1 | replace:简->履@10:11,,False
T0778,无语境,SVO-preferred,叙述经历和日程,SVO-NS-039,SVO,preferred,他最后给面试官留下了一份简历。,她最后给面试官留下了一份履历。,2,replace:他->她@0:1 | replace:简->履@12:13,,False
T0783,无语境,SVO-preferred,叙述经历和日程,SVO-NS-042,BA,non-preferred,我们去一楼把那几盒感冒药买了。,我们去一楼把那几颗感冒药买了。,1,replace:盒->颗@8:9,,False
T0784,无语境,SVO-preferred,叙述经历和日程,SVO-NS-042,SVO,preferred,我们去一楼买了几盒感冒药。,我们去一楼买了几颗感冒药。,1,replace:盒->颗@8:9,,False
T0785,无语境,SVO-preferred,叙述经历和日程,SVO-NS-043,BA,non-preferred,她小心地从盒子里把那个新手机拿出来了。,他小心地从盒子里把那个新手机拿出来了。,1,replace:她->他@0:1,,False
T0786,无语境,SVO-preferred,叙述经历和日程,SVO-NS-043,SVO,preferred,她小心地从盒子里拿出来了一个新手机。,他小心地从盒子里拿出来了一个新手机。,1,replace:她->他@0:1,,False
T0797,无语境,SVO-preferred,叙述经历和日程,SVO-NS-049,BA,non-preferred,她坐在桌子前认真地把这封信读了一遍。,他坐在桌子前认真地把这封信读了一通。,2,replace:她->他@0:1 | replace:遍->通@16:17,,False
T0798,无语境,SVO-preferred,叙述经历和日程,SVO-NS-049,SVO,preferred,她坐在桌子前认真地读了一遍这封信。,他坐在桌子前认真地读一遍这封信。,2,replace:她->他@0:1 | delete:了->@10:11,,False
T0799,无语境,SVO-preferred,叙述经历和日程,SVO-NS-050,BA,non-preferred,他躺在沙发上把那首老歌听了一遍。,她躺在沙发上把那首老歌听了一下。,2,replace:他->她@0:1 | replace:遍->下@14:15,,False
T0800,无语境,SVO-preferred,叙述经历和日程,SVO-NS-050,SVO,preferred,他躺在沙发上听了一遍那首老歌。,她躺在沙发上听了一下那首老歌。,2,replace:他->她@0:1 | replace:遍->下@9:10,,False
